sim/none/none                                      Do nothing.
sim/flight_controls/canopy_close                   Canopy close.
sim/flight_controls/canopy_toggle                  Canopy toggle.
sim/flight_controls/rotor_brake_toggle             Toggle rotor brake.
sim/systems/artificial_stability_toggle            Toggle artificial stability power.
sim/flight_controls/puffers_toggle                 Toggle puffers.
sim/engines/rockets_up                             Orbital maneuver rockets up.
sim/engines/rockets_down                           Orbital maneuver rockets down.
sim/engines/rockets_left                           Orbital maneuver rockets left.
sim/engines/rockets_right                          Orbital maneuver rockets right.
sim/engines/rockets_forward                        Orbital maneuver rockets fore.
sim/engines/rockets_aft                            Orbital maneuver rockets aft.
sim/fuel/fuel_tank_selector_lft_one                Select fuel tank left one.
sim/fuel/fuel_tank_selector_rgt_one                Select fuel tank right one.
sim/fuel/fuel_tank_pump_1_on                       Fuel pump for tank #1 on.
sim/fuel/fuel_tank_pump_2_on                       Fuel pump for tank #2 on.
sim/fuel/fuel_tank_pump_3_on                       Fuel pump for tank #3 on.
sim/fuel/fuel_tank_pump_4_on                       Fuel pump for tank #4 on.
sim/fuel/fuel_tank_pump_5_on                       Fuel pump for tank #5 on.
sim/fuel/fuel_tank_pump_6_on                       Fuel pump for tank #6 on.
sim/fuel/fuel_tank_pump_7_on                       Fuel pump for tank #7 on.
sim/fuel/fuel_tank_pump_8_on                       Fuel pump for tank #8 on.
sim/fuel/fuel_tank_pump_9_on                       Fuel pump for tank #9 on.
sim/fuel/fuel_tank_pump_1_off                      Fuel pump for tank #1 off.
sim/fuel/fuel_tank_pump_2_off                      Fuel pump for tank #2 off.
sim/fuel/fuel_tank_pump_3_off                      Fuel pump for tank #3 off.
sim/fuel/fuel_tank_pump_4_off                      Fuel pump for tank #4 off.
sim/fuel/fuel_tank_pump_5_off                      Fuel pump for tank #5 off.
sim/fuel/fuel_tank_pump_6_off                      Fuel pump for tank #6 off.
sim/fuel/fuel_tank_pump_7_off                      Fuel pump for tank #7 off.
sim/fuel/fuel_tank_pump_8_off                      Fuel pump for tank #8 off.
sim/fuel/fuel_tank_pump_9_off                      Fuel pump for tank #9 off.
sim/fuel/fuel_selector_none                        Set fuel selector to none (shut off).
sim/fuel/fuel_selector_lft                         Set fuel selector to left tanks.
sim/fuel/fuel_selector_ctr                         Set fuel selector to center tanks.
sim/fuel/fuel_selector_rgt                         Set fuel selector to right tanks.
sim/fuel/fuel_selector_all                         Set fuel selector to all tanks.
sim/fuel/fuel_transfer_to_lft                      Transfer fuel to left.
sim/fuel/fuel_transfer_to_ctr                      Transfer fuel to center.
sim/fuel/fuel_transfer_to_rgt                      Transfer fuel to right.
sim/fuel/fuel_transfer_to_off                      Transfer fuel to none.
sim/fuel/fuel_transfer_from_lft                    Transfer fuel from left.
sim/fuel/fuel_transfer_from_ctr                    Transfer fuel from center.
sim/fuel/fuel_transfer_from_rgt                    Transfer fuel from right.
sim/fuel/fuel_transfer_from_off                    Transfer fuel from none.
sim/fuel/fuel_crossfeed_from_lft_tank              Cross-feed fuel from left tank.
sim/fuel/fuel_crossfeed_off                        Cross-feed fuel off.
sim/fuel/fuel_crossfeed_from_rgt_tank              Cross-feed fuel from right tank.
sim/fuel/fuel_firewall_valve_lft_open              Firewall fuel valve left open.
sim/fuel/fuel_firewall_valve_lft_closed            Firewall fuel valve left closed.
sim/fuel/fuel_firewall_valve_rgt_open              Firewall fuel valve right open.
sim/fuel/fuel_firewall_valve_rgt_closed            Firewall fuel valve right closed.
sim/fuel/fuel_pumps_on                             Fuel pumps on.
sim/fuel/fuel_pumps_off                            Fuel pumps off.
sim/fuel/fuel_pumps_tog                            Fuel pumps toggle.
